id,question,answers,pred,EM,F1,generation_time
fc6267db9ba02bbb251960231bc87251c581110e4e2b5f3f,Which case was brought to court first Miller v. California or Gates v. Collier ?,['Miller v. California'],Gates v. Collier was brought to court first.,0.0,0.18181818181818182,2.608
d542fcd45bbf5112eee9127f04ae060a887c8ef2050aa160,"The actor that plays Phileas Fogg in ""Around the World in 80 Days"", co-starred with Gary Cooper in a 1939 Goldwyn Productions film based on a novel by what author?",['Charles L. Clifford'],"The author of the novel that the 1939 film ""The Real Glory"" is based on, which stars Gary Cooper and David Niven, is Charles L. Clifford.",0.0,0.24000000000000002,3.03
cb9214532284b8202912b1b75592832daef0b109593185a0,"Prior to playing for Michigan State, Keith Nichol played football for a school located in what city?",['Norman'],The context does not provide information about Keith Nichol's football career before Michigan State.,0.0,0.0,2.553
105e7f4d337799315ddf870acc4ff2a62a1e6cdf489086cd,Gary L. Bennett was a part of the space missions that have a primary destination of what celestial body?,['Sun'],Jupiter,0.0,0.0,2.508
5ff08452b84748458e71d82a6d387599969311fd61cd8fd1,Was Atom Egoyans biggest commercial success on stage or on film?,['erotic thriller film'],"The question does not provide any context related to Atom Egoyan, so it's impossible to determine if his biggest commercial success was on stage or on film based on the provided context.",0.0,0.0588235294117647,2.906
97b31d6d7a9137c220726ad51a6dca3e957e2c94ce5e65b8,Celebrity Fifteen to One has had more than one appearance by an English writer and former Conservative Member of what?,['Parliament'],Parliament (specifically David Faber),0.0,0.4,2.59
11a7ad9d646184c16480376226d58f1b2754b095563c8344,Thirukkalacherry is a village in which Indian town?,['Tharangambadi'],Kumbakonam,0.0,0.0,2.515
3dd1ade26fd583844dd2af051d61eb20856ccc8e23abae59,"Which is a flowering plant, Pueraria or Pleiospilos?",['Pleiospilos'],"Pueraria is a flowering plant. [Citation: Passage 1, first sentence]",0.0,0.0,2.646
f039fe9cc81a0a312f9899beca2fe26b710bf8c3aa23a4d9,After Russell D. Moore served at the Southern Baptist Theological Seminary he became the President of The Ethics & Religious Liberty Commission (ERLC) in what year?,['2013'],Russell D. Moore served as the President of The Ethics & Religious Liberty Commission (ERLC) in 2013. [Passage 1],0.0,0.11764705882352941,2.906
a30caa5dafcc37835bfe4093f129017adf4c814e9016e10d,"For which band, was the female member of Fitz and The Tantrums, the front woman for ten years ?",['The Rebirth'],Noelle Scaggs was the female member of Fitz and The Tantrums for ten years.,0.0,0.0,2.786
