id,question,answers,pred,EM,F1,generation_time
341d214a2c377691bf20e5a30b8f7979696bd19141ad9c9f,What is Saltram's living situation?,['He is a guest in the home of the Mulvilles.'],"Saltram lives in a house (Context: ""He was sitting in his house"")",0.0,0.2222222222222222,2.547
26c6325283dece0b557e34cde9a5c57999ec5c68782e8194,Why does Ann not return Mary's feelings of affection?,['Because she is in unrequited love with someone else'],"According to the provided context, the text does not contain information about Ann and her feelings towards Mary.",0.0,0.0,2.466
5b8d6fdd30a297e508ebb484f172ca5bce8d31b340eb3506,Where does the witch live?,['The Atlas Mountains'],The context does not specify where the witch lives.,0.0,0.0,2.339
68fc4dee839213b5259d41718909195c2f5274665bc18036,What was the purpose of Crito's visit?,['To smuggle Socrates out of prison and into a life of exile.'],Crito visited to discuss Socrates' impending execution. [Crito line 1],0.0,0.1904761904761905,2.481
36232c9c63d19d282643657b3da5b688cb14e3b44009c494,Why didn't Baron Henry just kill Otto instead of cutting his hand off?,['Otto was so young.'],The text does not provide a reason why Baron Henry chose to cut off Otto's hand instead of killing him.,0.0,0.08695652173913043,2.492
0bf1995158cbf08134d5dc15475c27f38b3ab5441c422419,How long had Mortimer Trefinnis' sister been dead when the doctor examined the body?,['Six hours.'],The context does not provide information on how long Mortimer Trefinnis' sister was dead before the doctor examined the body.,0.0,0.0,2.562
9fbcbb5460066a68460ba92626c25371e0a1ff65b3bd5e84,With whom does the entertainers' manager have an affair?,"[""Lisa, the blacksmith's wife.""]",The context does not provide information about the entertainers' manager having an affair.,0.0,0.0,2.566
f9cfda8abcc78f9e2f492d4f58ee4996430e9a8911e29726,Who is the first person that falls under Vigo's spell?,['Dr. Janosz Poha'],"The first person who falls under Vigo's spell is Oswald. [Span: ""Oswald""]",0.0,0.0,2.608
58b8a46c20c05540367b90490846c4f9808db630026b28d4,What nationality is Ruth Anvoy?,['She is an American.'],The context does not provide information about Ruth Anvoy's nationality.,0.0,0.0,2.496
c89fd516348b68f96538948b052cb10d5b6f21bc441f5a55,Who did the Witch want to have reveal their own lies?,['The scribe.'],The Witch wanted the people of Atlas to reveal their own lies (Context: The Witch of Atlas).,0.0,0.0,2.531
