id,question,answers,pred,EM,F1,generation_time
bb86302b1936b14c09091143ce6e0d4d4013c4789ece0230,"Question: Where was the first golf course in the United States ?
Type:",['Other location'],"The first golf course in the United States was located in St. Andrews, Yonkers, New York (Line 1).",0.0,0.0,2.719
be63e2d9490453d1b939ba8f850a386c7828f776df937d8c,"Question: What was J.F.K. 's wife 's name ?
Type:",['Individual'],Jackie Kennedy was J.F.K.'s wife. [Span: Jackie Kennedy],0.0,0.0,2.433
1e8eb08f71a04cd4391fcaa7d98a166627d65284c467a318,"Question: What color is indigo ?
Type:",['Color'],Indigo is a shade of blue (context: not specified).,0.0,0.0,3.987
e8c5eb156625bc57f11c1f0c6e9ba97abb46b8672aefb2df,"Question: When was President Kennedy shot ?
Type:",['Date'],"November 22, 1963 [Span: November 22, 1963]",0.0,0.0,4.248
9587abceff7bb3b9e0f0df6a0a040945a27b7e1eb67c64e5,"Question: What currency does Argentina use ?
Type:",['Currency name'],The currency used in Argentina is the Argentine Peso (Spanish: peso argentino). [Spanish: peso argentino],0.0,0.13333333333333336,2.614
3e7d6a53447488a4bf1b9e9e08ea589028f3b4197d92f5a4,"Question: What is a biosphere ?
Type:",['Definition of something'],"The biosphere refers to the zone on Earth where life exists, including all ecosystems and organisms (Lines 1-2).",0.0,0.0,2.568
53314ceb95fb9a488c88d21402e09c826d927f9c7402d0cf,"Question: What river runs through Rowe , Italy ?
Type:",['Other location'],"The text does not provide information about a river running through Rowe, Italy.",0.0,0.0,2.36
dc7348606b7d50383c1e69a0ea2787da8a4506114fad6f2a,"Question: What does `` Sitting Shiva '' mean ?
Type:",['Definition of something'],"""Sitting Shiva"" is a Hindu practice where an individual mourns for the deceased, often by fasting and meditating for several days. [Span: Sitting Shiva]",0.0,0.0,2.623
6c5121b0b6fd45c4c437d96cad36c46dffa122fabb7cf8eb,"Question: What currency do they use in Brazil ?
Type:",['Currency name'],They use the Brazilian Real (BRL) in Brazil. [Span: They use the Brazilian Real (BRL) in Brazil.],0.0,0.0,4.379
e55a65ad534b2649ceccf41cdcba863db7774efbd1408eed,"Question: What is the effect of volcanoes on the climate ?
Type:",['Description of something'],"Volcanoes can have both cooling and warming effects on the climate, depending on the amount and type of material they release. (Span: entire context)",0.0,0.08,2.572
c84d7df6e4889807a25b8fb80db29c8c3d419c09387ef9e1,"Question: What is Valentine 's Day ?
Type:",['Definition of something'],"Valentine's Day is a celebration of love and affection, typically marked on February 14th. [Span: February 14th]",0.0,0.1,2.542
f03199226a1925234dde134936aea510c2f331e636106781,"Question: When was the Boston tea party ?
Type:",['Date'],"The Boston Tea Party occurred on December 16, 1773. [Span: December 16, 1773]",0.0,0.0,2.543
ed3fccd0229defe456bc01dd48d59cd62d04b49f1b1b1e0a,"Question: What is the rainiest place on Earth ?
Type:",['Other location'],"The rainiest place on Earth is Mawsynram, India [Context: No specific mention of location].",0.0,0.13333333333333336,2.511
4a198f563d6897cf45a1acd7af747ea3ac8e73698d1a94e7,"Question: Who was the first woman killed in the Vietnam War ?
Type:",['Individual'],The text does not provide information about the first woman killed in the Vietnam War.,0.0,0.0,2.389
31277bc109b79395bbaed904e4696eceefe807fe63e6d375,"Question: When was Abraham Lincoln born ?
Type:",['Date'],"Abraham Lincoln was born on June 12, 1809. [Span: June 12, 1809]",0.0,0.0,2.549
fe48b8be1c5cc6e474c04f8b96b1f2a37095e7245594b2ad,"Question: What date was Dwight D. Eisenhower born ?
Type:",['Date'],"Dwight D. Eisenhower was born on October 14, 1890 (line 2).",0.0,0.0,2.538
b19440bff3ae91b4ff667d2183b7e5b2b2b52df48ba53289,"Question: What monastery was raided by Vikings in the late eighth century ?
Type:",['Other entity'],The monastery raided by Vikings in the late eighth century was Lindisfarne [Monk's Island].,0.0,0.0,2.544
628dffa806ccbd5b0d3ea898071a5bba1fa322937a13b3d0,"Question: How many feet in a mile ?
Type:",['Number of something'],"There are 5,280 feet in a mile. (Context: ""There are 5280 feet in a statute mile."")",0.0,0.0,2.557
f9666d6736c07d6af8c7599e04e37f230b63e032bc2b3cc8,"Question: Where is the Eiffel Tower ?
Type:",['Other location'],"The Eiffel Tower is located in Paris, France. [Paris, France]",0.0,0.0,2.427
ae345fc2a13db040fb296e9d819edf26ac19cadfcd1a1ba6,"Question: What is nepotism ?
Type:",['Definition of something'],Nepotism refers to favoritism shown towards individuals based on familial relationships rather than merit or qualifications (Span 1).,0.0,0.0,2.527
0b6cb30081f15859876d46020fca4dd45fb6fc0f24b33a07,"Question: What is the sales tax rate in New York ?
Type:",['Other number'],"The sales tax rate in New York is 4%. (From context: ""The combined sales tax rate in New York City is 8.875%, but the statewide sales tax rate is 4%."")",0.0,0.0,2.729
8b55d14186093e0012da5a7cd1b800d04704364bc6ce3686,"Question: What is autism ?
Type:",['Definition of something'],"Autism is a developmental disorder characterized by difficulties in social interaction and communication, and repetitive behaviors (paragraph 1).",0.0,0.0,4.121
5164362f6132cb801e1d5df1c2c6356ea8bf16e9a4402a1e,"Question: How tall is the Gateway Arch in St. Louis , MO ?
Type:","['Distance, linear measure']","The Gateway Arch in St. Louis, MO is 630 feet tall. [Span: Gateway Arch in St. Louis, MO is 630 feet tall.]",0.0,0.0,2.627
e7e40bf7a9ac82f5a438c6fc369d3208e12296907e42c62a,"Question: What does CPR stand for ?
Type:",['Expression abbreviated'],Cardiopulmonary Resuscitation (CPR),0.0,0.0,2.353
a20b33a8a018d27269d286e9ff805f8fbf1a370f080a14cd,"Question: What is Susan B. Anthony 's birthday ?
Type:",['Date'],"Susan B. Anthony's birthday was June 15, 1820. [Span: June 15, 1820]",0.0,0.0,2.608
c49fd9c1e59b10bfe04e25ca13954f4cbf77c64beb67df64,"Question: What is the esophagus used for ?
Type:",['Reason'],The esophagus is used for transporting food from the mouth to the stomach [Span: line 1].,0.0,0.0,2.49
389ce23ee7c00b34a1cdbd9b6ccec47778541a5b4b2a6861,"Question: What does a defibrillator do ?
Type:",['Description of something'],A defibrillator shocks the heart to restore a normal rhythm. [Span: shocks the heart to restore a normal rhythm],0.0,0.0,2.479
2515df579016f05f203679b9925e33d885985054564b2c62,"Question: What planet has the strongest magnetic field of all the planets ?
Type:",['Other location'],"The planet with the strongest magnetic field is Jupiter (Context: ""Jupiter's magnetic field is approximately 20,000 times stronger than Earth's."").",0.0,0.0,2.641
e0508a69f493c99a55708cb841b5db4e350dd0cd2e3dce2d,"Question: What is the major fault line near Kentucky ?
Type:",['Other entity'],The major fault line near Kentucky is the New Madrid Fault Line (line 1).,0.0,0.0,2.441
40889e3cd2e32438572f29c578c29cdecb3b112ccf9952f6,"Question: What year did the Titanic sink ?
Type:",['Date'],The Titanic sank in the year 1912 [Context: No specific date or time provided].,0.0,0.15384615384615385,2.461
97cf3ad59a0cc47dc987e51c39efd282b16022bf1e86c30e,"Question: Who founded American Red Cross ?
Type:",['Individual'],The American Red Cross was founded by Clara Barton [Span: 1].,0.0,0.0,2.443
2f60ccd7193f99ecd68fc106b0cb6c66ae7b60e41af9b28f,"Question: What precious stone is a form of pure carbon ?
Type:",['Element and substance'],The precious stone that is a form of pure carbon is a diamond (Entity 1).,0.0,0.0,2.42
432bc5d5343a2d90493d1502feca910fa4f04638c165bfc5,"Question: What is the average body temperature ?
Type:",['Temperature'],The average human body temperature is approximately 98.6 degrees Fahrenheit (Reference Span: not provided).,0.0,0.13333333333333333,2.466
3d969a6b17acac98d1007630ada2d3ee04202e2543caf688,"Question: Where are the National Archives ?
Type:",['Other location'],"The National Archives are located in Washington, D.C. (Line 1)",0.0,0.0,2.397
c484b36f511ec3f88c462e36a451394a0f7674ca1146e617,"Question: What city has the zip code of 35824 ?
Type:",['City'],"The city is Hoover, according to the given context. [Span: Hoover (Line 1)]",0.0,0.16666666666666669,2.443
c929e9466c70da2f1b667b9968b34928e0f16197ca9e9c04,"Question: When was the first liver transplant ?
Type:",['Date'],The first successful liver transplant occurred in 1967 [Span: 1967].,0.0,0.0,2.408
69091626855bf63b2b103f3af3a47a624ccdb47285a921ca,"Question: What instrument did Glenn Miller play ?
Type:",['Musical instrument'],"Glenn Miller played the trombone. [Span: Glenn Miller, trombone]",0.0,0.0,2.387
206b78b2a11b7e444a95e37dc0fd700df904094152b64a4a,"Question: Who won Ms. American in 1989 ?
Type:",['Individual'],The text does not provide information about who won Ms. American in 1989.,0.0,0.0,2.49
10e30eb8abf0d20556b414e826d971873468493164027855,"Question: How long did Rip Van Winkle sleep ?
Type:",['Lasting time of somethin'],Rip Van Winkle slept for 20 years [Span: line 1].,0.0,0.0,2.425
7d1f909bc981db6c50db83a5c83825bb38e2d5cec1f6ebcd,"Question: What is foot and mouth disease ?
Type:",['Disease and medicine'],"Foot and mouth disease is an infectious and contagious viral disease that affects cloven-hoofed animals, such as cattle, pigs, goats, and sheep. [Span: ""Foot and mouth disease is an infectious and contagious viral disease""]",0.0,0.1111111111111111,2.861
a12c082b70af2ce8257e73f6072f8b2b9d0d30cac6a06055,"Question: What is semolina ?
Type:",['Definition of something'],Semolina is a coarsely ground wheat (Reference Span: coarsely ground wheat).,0.0,0.0,4.064
