id,question,answers,pred,EM,F1,generation_time
fc6267db9ba02bbb251960231bc87251c581110e4e2b5f3f,Which case was brought to court first Miller v. California or Gates v. Collier ?,['Miller v. California'],Gates v. Collier was brought to court first.,0.0,0.18181818181818182,8.327
d542fcd45bbf5112eee9127f04ae060a887c8ef2050aa160,"The actor that plays Phileas Fogg in ""Around the World in 80 Days"", co-starred with Gary Cooper in a 1939 Goldwyn Productions film based on a novel by what author?",['Charles L. Clifford'],"The author of the novel that the 1939 film ""The Real Glory"" is based on, which stars Gary Cooper and David Niven, is Charles L. Clifford.",0.0,0.24000000000000002,2.9
cb9214532284b8202912b1b75592832daef0b109593185a0,"Prior to playing for Michigan State, Keith Nichol played football for a school located in what city?",['Norman'],The context does not provide information about Keith Nichol's football career before Michigan State.,0.0,0.0,2.457
105e7f4d337799315ddf870acc4ff2a62a1e6cdf489086cd,Gary L. Bennett was a part of the space missions that have a primary destination of what celestial body?,['Sun'],Jupiter,0.0,0.0,2.358
5ff08452b84748458e71d82a6d387599969311fd61cd8fd1,Was Atom Egoyans biggest commercial success on stage or on film?,['erotic thriller film'],"The question does not provide any context related to Atom Egoyan, so it's impossible to determine if his biggest commercial success was on stage or on film based on the provided context.",0.0,0.0588235294117647,2.94
97b31d6d7a9137c220726ad51a6dca3e957e2c94ce5e65b8,Celebrity Fifteen to One has had more than one appearance by an English writer and former Conservative Member of what?,['Parliament'],Parliament (specifically David Faber),0.0,0.4,2.594
11a7ad9d646184c16480376226d58f1b2754b095563c8344,Thirukkalacherry is a village in which Indian town?,['Tharangambadi'],Kumbakonam,0.0,0.0,2.524
3dd1ade26fd583844dd2af051d61eb20856ccc8e23abae59,"Which is a flowering plant, Pueraria or Pleiospilos?",['Pleiospilos'],Pueraria is a flowering plant. [Citation: Passage 1],0.0,0.0,2.621
f039fe9cc81a0a312f9899beca2fe26b710bf8c3aa23a4d9,After Russell D. Moore served at the Southern Baptist Theological Seminary he became the President of The Ethics & Religious Liberty Commission (ERLC) in what year?,['2013'],"Russell D. Moore served as the President of The Ethics & Religious Liberty Commission (ERLC) in 2013. (Context: Passage 1 mentions that Jerry A. Johnson became President of NRB on November 1, 2013, succeeding Frank Wright, and before accepting that post, he was President of Criswell College, where Russell D. Moore served.)",0.0,0.04081632653061225,3.479
a30caa5dafcc37835bfe4093f129017adf4c814e9016e10d,"For which band, was the female member of Fitz and The Tantrums, the front woman for ten years ?",['The Rebirth'],Noelle Scaggs was the female member of Fitz and The Tantrums for ten years.,0.0,0.0,2.821
72feb2a8e5b92548a357bfc11e94050464f93f1ce286418c,"When was the American singer, songwriter, record producer, dancer and actress born who's second studio album is Chapter II?","['October 13, 1980']","Madonna was born on August 16, 1958.",0.0,0.0,2.93
77439b0a62b6de3a022b1d7a5678c1c00fa8d9af42fea1bf,The Greatest Event in Television History aired on the channel that was founded by whom?,['Betty Cohen'],"Han Peekel, as the channel that aired ""The Greatest Event in Television History"" (not mentioned in the context) is NPO 1 Extra, and it was founded by Han Peekel.",0.0,0.0,2.851
21bc398556b5612bf0437043cd2800e943bab5929c4bccc5,Who starred in her final film role in the 1964 film directed by the man who also did Vera Cruz and Kiss Me Deadly?,['Mary Astor'],"Hush...Hush, Sweet Charlotte stars Bette Davis.",0.0,0.0,2.717
e0998dbc2db68c7b18adff7fcc67081acc865c974b721312,Finally includes the song that peaked at what on the US Hot 100,['number five'],"The song ""Finally"" peaked at number five on the US Hot 100.",0.0,0.33333333333333337,2.718
139d2fcf8763003414ebd0187eb30b94930de13c4ab754a0,What are some other areas that share a common deer species with the forests of Mara and Mondrem?,"['New Zealand, Canada, the United States, the Falkland Islands, and Peru.']","The forests of Mara and Mondrem may share similarities with regions where roe deer, gazelles, or antelopes are found, as these names also originate from the Latin word dāma or damma.",0.0,0.05263157894736842,2.855
c261ca6aeaf366815232e91db1ef4dc8408cec3750c38ee9,"Professional cyclist Sara Symington competed in which Olympic Games held in Sydeney, Australia?",['2000 Summer Olympic Games'],Sara Symington did not compete in the Sydney Olympics as she is not mentioned in the provided context.,0.0,0.0,2.686
ab016faac478c4acc6e9ed3ed87f9e29dbed47fd946be244,Which retired Argentine footballer who played as a forward was a main player for Valencia CF?,['Claudio Javier López'],José Daniel Valencia himself did not play for Valencia CF.,0.0,0.0,2.538
cae319fad2385d30d79efac0fb61e58518fbdc0703be3b0f,What actor was also a president that Richard Darman worked with when they were in office?,['George H. W. Bush'],"Bobbie Kilberg, not an actor, was the president that Richard Darman did not work with as they were in office, as there is no mention of Richard Darman working with any president in the provided context.",0.0,0.0,3.177
e4df9576e5cd102024e81baf94a43325335d0ba2d8892041,"The song that came out ahead of The Wanted's ""Lightning"" on the UK Singles Chart was featured on which album?","['""Talk That Talk""']","""Honey to the Bee"" was featured on Billie's debut studio album, Honey to the B (1998).",0.0,0.0,2.678
5e3362de0244d2b96c83958c4d3229151999292c369b0197,Name a member of a British-American supergroup who recored a version of Nobody's child in 1990,['Bob Dylan'],"The context does not provide information about a British-American supergroup recording ""Nobody's Children"" in 1990.",0.0,0.0,2.732
fda38e0c47dcd2b4f1de4adefeb00ab431221c0ef9adeb31,"What Friday night programming block included what collective series that includes ""Whatever Happened to... Robot Jones?""?",['Cartoon Cartoon Fridays'],"The context does not provide information about the Friday night programming block that includes ""Whatever Happened to... Robot Jones?""",0.0,0.0,2.826
ef245cc27251f559f3cd900c11c7bf9f303eec3c4b346802,Where does the city situated where Kellyville Ridge is located?,['on the Cumberland Plain'],The context does not provide information about Kellyville Ridge's location.,0.0,0.0,2.564
3a75aba6bc2496016339474aef28ffdc9dbebdc00ccc166b,"Oak Beach, New York and Great South Bay are both situated between what same island?",['Long Island'],Jones Beach Island,0.0,0.4,2.38
